年,月,日,気温,品質,均質
2008,3,17,13.1,8,1
2008,3,18,12.6,8,1
2008,3,19,12.1,8,1
2008,3,20,9.2,8,1
2008,3,21,10.7,8,1
2008,3,22,11.9,8,1
2008,3,23,12.3,8,1
2008,3,24,9.4,8,1
2008,3,25,12.5,8,1
2008,3,26,14.4,8,1
2008,3,27,12.0,8,1
2008,3,28,12.6,8,1
2008,3,29,12.1,8,1
2008,3,30,8.9,8,1
2008,3,31,7.8,8,1
2008,4,1,11.2,8,1
2008,4,2,13.0,8,1
2008,4,3,13.6,8,1
2008,4,4,14.1,8,1
2008,4,5,14.6,8,1
2008,4,6,14.7,8,1
2008,4,7,13.3,8,1
2008,4,8,12.1,8,1
2008,4,9,13.1,8,1
2008,4,10,10.1,8,1
2008,4,11,14.3,8,1
2008,4,12,15.9,8,1
2008,4,13,10.1,8,1
2008,4,14,12.9,8,1
2008,4,15,16.2,8,1
2008,4,16,17.6,8,1
2008,4,17,16.6,8,1
2008,4,18,13.4,8,1
2008,4,19,14.5,8,1
2008,4,20,15.7,8,1
2008,4,21,15.8,8,1
2008,4,22,16.0,8,1
2008,4,23,17.2,8,1
2008,4,24,18.2,8,1
2008,4,25,14.8,8,1
2008,4,26,13.7,8,1
2008,4,27,14.5,8,1
2008,4,28,15.9,8,1
2008,4,29,17.6,8,1
2008,4,30,20.5,8,1
2008,5,1,20.8,8,1
2008,5,2,19.9,8,1
2008,5,3,18.8,8,1
2008,5,4,18.5,8,1
2008,5,5,18.6,8,1
2008,5,6,19.8,8,1
2008,5,7,21.5,8,1
2008,5,8,19.6,8,1
2008,5,9,18.9,8,1
2008,5,10,13.5,8,1
2008,5,11,11.7,8,1
2008,5,12,12.5,8,1
2008,5,13,11.6,8,1
2008,5,14,12.9,8,1
2008,5,15,17.3,8,1
2008,5,16,18.7,8,1
2008,5,17,18.9,8,1
2008,5,18,18.6,8,1
2008,5,19,19.7,8,1
2008,5,20,20.4,8,1
2008,5,21,20.1,8,1
2008,5,22,21.7,8,1
2008,5,23,24.3,8,1
2008,5,24,21.6,8,1
2008,5,25,20.8,8,1
2008,5,26,23.1,8,1
2008,5,27,22.8,8,1
2008,5,28,21.3,8,1
2008,5,29,15.8,8,1
2008,5,30,14.9,8,1
2008,5,31,13.5,8,1
2008,6,1,18.7,8,1
2008,6,2,19.2,8,1
2008,6,3,15.8,8,1
2008,6,4,18.3,8,1
2008,6,5,18.6,8,1
2008,6,6,22.8,8,1
2008,6,7,23.0,8,1
2008,6,8,21.7,8,1
2008,6,9,21.2,8,1
2008,6,10,22.3,8,1
2008,6,11,22.8,8,1
2008,6,12,18.6,8,1
2008,6,13,21.7,8,1
2008,6,14,23.1,8,1
2008,6,15,21.1,8,1
2008,6,16,22.9,8,1
2008,6,17,22.1,8,1
2008,6,18,22.2,8,1
2008,6,19,23.7,8,1
2008,6,20,22.9,8,1
2008,6,21,23.5,8,1
2008,6,22,21.0,8,1
2008,6,23,21.1,8,1
2008,6,24,23.6,8,1
2008,6,25,21.6,8,1
2008,6,26,17.0,8,1
2008,6,27,21.6,8,1
2008,6,28,23.4,8,1
2008,6,29,21.0,8,1
2008,6,30,21.7,8,1
2008,7,1,21.8,8,1
2008,7,2,23.7,8,1
2008,7,3,24.3,8,1
2008,7,4,26.5,8,1
2008,7,5,27.5,8,1
2008,7,6,27.0,8,1
2008,7,7,25.1,8,1
2008,7,8,24.1,8,1
2008,7,9,24.3,8,1
2008,7,10,24.6,8,1
2008,7,11,26.0,8,1
2008,7,12,28.0,8,1
2008,7,13,28.5,8,1
2008,7,14,28.9,8,1
2008,7,15,27.8,8,1
2008,7,16,27.3,8,1
2008,7,17,27.9,8,1
2008,7,18,28.7,8,1
2008,7,19,29.1,8,1
2008,7,20,27.0,8,1
2008,7,21,27.0,8,1
2008,7,22,28.4,8,1
2008,7,23,28.9,8,1
2008,7,24,29.1,8,1
2008,7,25,29.4,8,1
2008,7,26,27.9,8,1
2008,7,27,27.6,8,1
2008,7,28,29.3,8,1
2008,7,29,28.5,8,1
2008,7,30,26.4,8,1
2008,7,31,26.2,8,1
2008,8,1,27.4,8,1
2008,8,2,28.3,8,1
2008,8,3,29.4,8,1
2008,8,4,30.2,8,1
2008,8,5,27.6,8,1
2008,8,6,29.8,8,1
2008,8,7,30.2,8,1
2008,8,8,30.7,8,1
2008,8,9,29.2,8,1
2008,8,10,26.6,8,1
2008,8,11,28.1,8,1
2008,8,12,28.7,8,1
2008,8,13,29.2,8,1
2008,8,14,30.1,8,1
2008,8,15,30.7,8,1
2008,8,16,28.7,8,1
2008,8,17,22.6,8,1
2008,8,18,25.2,8,1
2008,8,19,28.5,8,1
2008,8,20,27.7,8,1
2008,8,21,25.4,8,1
2008,8,22,22.4,8,1
2008,8,23,20.9,8,1
2008,8,24,21.6,8,1
2008,8,25,23.2,8,1
2008,8,26,22.1,8,1
2008,8,27,24.6,8,1
2008,8,28,25.5,8,1
2008,8,29,25.9,8,1
2008,8,30,24.8,8,1
2008,8,31,25.6,8,1
2008,9,1,27.3,8,1
2008,9,2,28.3,8,1
2008,9,3,28.7,8,1
2008,9,4,27.4,8,1
2008,9,5,26.6,8,1
2008,9,6,27.0,8,1
2008,9,7,26.7,8,1
2008,9,8,27.1,8,1
2008,9,9,25.6,8,1
2008,9,10,24.2,8,1
2008,9,11,23.2,8,1
2008,9,12,26.4,8,1
2008,9,13,27.0,8,1
2008,9,14,25.6,8,1
2008,9,15,24.4,8,1
2008,9,16,23.3,8,1
2008,9,17,25.2,8,1
2008,9,18,24.1,8,1
2008,9,19,23.9,8,1
2008,9,20,24.5,8,1
2008,9,21,23.0,8,1
2008,9,22,20.9,8,1
2008,9,23,23.6,8,1
2008,9,24,24.7,8,1
2008,9,25,24.9,8,1
2008,9,26,26.0,8,1
2008,9,27,20.1,8,1
2008,9,28,18.1,8,1
2008,9,29,16.6,8,1
2008,9,30,17.2,8,1
2008,10,1,18.9,8,1
2008,10,2,19.6,8,1
2008,10,3,20.0,8,1
2008,10,4,20.6,8,1
2008,10,5,21.0,8,1
2008,10,6,18.3,8,1
2008,10,7,21.6,8,1
2008,10,8,19.0,8,1
2008,10,9,21.1,8,1
2008,10,10,21.7,8,1
2008,10,11,20.8,8,1
2008,10,12,18.6,8,1
2008,10,13,19.5,8,1
2008,10,14,18.6,8,1
2008,10,15,19.9,8,1
2008,10,16,19.7,8,1
2008,10,17,19.6,8,1
2008,10,18,19.6,8,1
2008,10,19,19.4,8,1
2008,10,20,20.0,8,1
2008,10,21,20.2,8,1
2008,10,22,19.8,8,1
2008,10,23,20.3,8,1
2008,10,24,21.0,8,1
2008,10,25,20.6,8,1
2008,10,26,19.3,8,1
2008,10,27,18.0,8,1
2008,10,28,17.1,8,1
2008,10,29,17.0,8,1
2008,10,30,14.8,8,1
2008,10,31,14.4,8,1
2008,11,1,16.1,8,1
2008,11,2,14.9,8,1
2008,11,3,15.7,8,1
2008,11,4,16.3,8,1
2008,11,5,14.4,8,1
2008,11,6,15.8,8,1
2008,11,7,17.3,8,1
2008,11,8,13.9,8,1
2008,11,9,11.4,8,1
2008,11,10,11.9,8,1
2008,11,11,11.6,8,1
2008,11,12,12.2,8,1
2008,11,13,14.9,8,1
2008,11,14,15.1,8,1
2008,11,15,16.2,8,1
2008,11,16,15.3,8,1
2008,11,17,15.8,8,1
2008,11,18,15.7,8,1
2008,11,19,11.3,8,1
2008,11,20,9.4,8,1
2008,11,21,11.0,8,1
2008,11,22,11.1,8,1
2008,11,23,12.1,8,1
2008,11,24,9.4,8,1
2008,11,25,9.5,8,1
2008,11,26,11.0,8,1
2008,11,27,8.8,8,1
2008,11,28,10.6,8,1
2008,11,29,13.1,8,1
2008,11,30,12.0,8,1
2008,12,1,9.9,8,1
2008,12,2,9.3,8,1
2008,12,3,12.3,8,1
2008,12,4,12.4,8,1
2008,12,5,14.2,8,1
2008,12,6,10.3,8,1
2008,12,7,7.5,8,1
2008,12,8,8.1,8,1
2008,12,9,8.8,8,1
2008,12,10,14.1,8,1
2008,12,11,14.0,8,1
2008,12,12,13.1,8,1
2008,12,13,11.3,8,1
2008,12,14,7.5,8,1
2008,12,15,7.2,8,1
2008,12,16,8.4,8,1
2008,12,17,8.8,8,1
2008,12,18,11.4,8,1
2008,12,19,10.0,8,1
2008,12,20,10.1,8,1
2008,12,21,13.5,8,1
2008,12,22,13.2,8,1
2008,12,23,6.9,8,1
2008,12,24,6.8,8,1
2008,12,25,10.1,8,1
2008,12,26,5.2,8,1
2008,12,27,6.0,8,1
2008,12,28,7.3,8,1
2008,12,29,9.9,8,1
2008,12,30,9.0,8,1
2008,12,31,6.6,8,1
2009,1,1,6.2,8,1
2009,1,2,6.9,8,1
2009,1,3,6.6,8,1
2009,1,4,7.5,8,1
2009,1,5,8.5,8,1
2009,1,6,8.6,8,1
2009,1,7,7.0,8,1
2009,1,8,6.7,8,1
2009,1,9,4.4,8,1
2009,1,10,5.6,8,1
2009,1,11,5.1,8,1
2009,1,12,4.5,8,1
2009,1,13,5.1,8,1
2009,1,14,5.9,8,1
2009,1,15,4.3,8,1
2009,1,16,5.0,8,1
2009,1,17,6.4,8,1
2009,1,18,6.0,8,1
2009,1,19,9.1,8,1
2009,1,20,7.5,8,1
2009,1,21,6.6,8,1
2009,1,22,5.9,8,1
2009,1,23,10.3,8,1
2009,1,24,6.8,8,1
2009,1,25,5.9,8,1
2009,1,26,6.5,8,1
2009,1,27,7.6,8,1
2009,1,28,6.7,8,1
2009,1,29,8.9,8,1
2009,1,30,9.6,8,1
2009,1,31,7.8,8,1
2009,2,1,7.9,8,1
2009,2,2,6.2,8,1
2009,2,3,8.9,8,1
2009,2,4,7.5,8,1
2009,2,5,7.4,8,1
2009,2,6,7.9,8,1
2009,2,7,7.1,8,1
2009,2,8,7.4,8,1
2009,2,9,6.1,8,1
2009,2,10,8.7,8,1
2009,2,11,6.9,8,1
2009,2,12,9.8,8,1
2009,2,13,11.4,8,1
2009,2,14,18.1,8,1
2009,2,15,12.7,8,1
2009,2,16,10.5,8,1
2009,2,17,4.9,8,1
2009,2,18,6.1,8,1
2009,2,19,6.6,8,1
2009,2,20,6.3,8,1
2009,2,21,6.4,8,1
2009,2,22,7.7,8,1
2009,2,23,6.6,8,1
2009,2,24,5.2,8,1
2009,2,25,7.6,8,1
2009,2,26,6.9,8,1
2009,2,27,3.4,8,1
2009,2,28,6.8,8,1
2009,3,1,7.1,8,1
2009,3,2,6.9,8,1
2009,3,3,3.2,8,1
2009,3,4,5.8,8,1
2009,3,5,8.6,8,1
2009,3,6,8.1,8,1
2009,3,7,11.6,8,1
2009,3,8,8.6,8,1
2009,3,9,10.2,8,1
2009,3,10,11.5,8,1
2009,3,11,7.6,8,1
2009,3,12,8.1,8,1
2009,3,13,10.0,8,1
2009,3,14,11.6,8,1
2009,3,15,9.4,8,1
2009,3,16,11.1,8,1
2009,3,17,14.4,8,1
2009,3,18,15.1,8,1
2009,3,19,17.2,8,1
2009,3,20,15.3,8,1
2009,3,21,11.8,8,1
2009,3,22,15.3,8,1
2009,3,23,12.7,8,1
2009,3,24,8.6,8,1
2009,3,25,8.0,8,1
2009,3,26,8.0,8,1
2009,3,27,7.8,8,1
2009,3,28,7.8,8,1
2009,3,29,8.1,8,1
2009,3,30,8.7,8,1
2009,3,31,10.7,8,1
2009,4,1,9.9,8,1
2009,4,2,9.8,8,1
2009,4,3,12.3,8,1
2009,4,4,13.8,8,1
2009,4,5,14.5,8,1
2009,4,6,14.9,8,1
2009,4,7,16.0,8,1
2009,4,8,16.2,8,1
2009,4,9,18.3,8,1
2009,4,10,18.6,8,1
2009,4,11,18.1,8,1
2009,4,12,16.3,8,1
2009,4,13,18.8,8,1
2009,4,14,17.9,8,1
2009,4,15,19.7,8,1
2009,4,16,17.7,8,1
2009,4,17,12.7,8,1
2009,4,18,15.2,8,1
2009,4,19,17.4,8,1
2009,4,20,16.8,8,1
2009,4,21,18.1,8,1
2009,4,22,19.7,8,1
2009,4,23,17.1,8,1
2009,4,24,13.3,8,1
2009,4,25,11.2,8,1
2009,4,26,16.8,8,1
2009,4,27,14.4,8,1
2009,4,28,13.0,8,1
2009,4,29,15.5,8,1
2009,4,30,17.8,8,1
2009,5,1,19.5,8,1
2009,5,2,19.8,8,1
2009,5,3,20.0,8,1
2009,5,4,20.4,8,1
2009,5,5,17.8,8,1
2009,5,6,16.4,8,1
2009,5,7,17.0,8,1
2009,5,8,17.8,8,1
2009,5,9,21.0,8,1
2009,5,10,23.0,8,1
2009,5,11,21.4,8,1
2009,5,12,22.2,8,1
2009,5,13,22.4,8,1
2009,5,14,18.4,8,1
2009,5,15,16.3,8,1
2009,5,16,17.6,8,1
2009,5,17,19.4,8,1
2009,5,18,23.7,8,1
2009,5,19,21.7,8,1
2009,5,20,23.2,8,1
2009,5,21,23.0,8,1
2009,5,22,21.8,8,1
2009,5,23,23.2,8,1
2009,5,24,19.4,8,1
2009,5,25,18.9,8,1
2009,5,26,21.3,8,1
2009,5,27,21.5,8,1
2009,5,28,18.5,8,1
2009,5,29,17.5,8,1
2009,5,30,18.4,8,1
2009,5,31,19.7,8,1
2009,6,1,19.0,8,1
2009,6,2,21.1,8,1
2009,6,3,21.9,8,1
2009,6,4,21.6,8,1
2009,6,5,20.0,8,1
2009,6,6,20.5,8,1
2009,6,7,22.8,8,1
2009,6,8,19.0,8,1
2009,6,9,21.8,8,1
2009,6,10,23.1,8,1
2009,6,11,21.6,8,1
2009,6,12,23.6,8,1
2009,6,13,23.0,8,1
2009,6,14,20.7,8,1
2009,6,15,20.8,8,1
2009,6,16,19.6,8,1
2009,6,17,21.2,8,1
2009,6,18,21.7,8,1
2009,6,19,22.3,8,1
2009,6,20,23.2,8,1
2009,6,21,22.8,8,1
2009,6,22,23.8,8,1
2009,6,23,26.5,8,1
2009,6,24,24.1,8,1
2009,6,25,24.9,8,1
2009,6,26,26.8,8,1
2009,6,27,26.6,8,1
2009,6,28,23.5,8,1
2009,6,29,25.3,8,1
2009,6,30,22.8,8,1
2009,7,1,23.3,8,1
2009,7,2,21.2,8,1
2009,7,3,23.2,8,1
2009,7,4,24.0,8,1
2009,7,5,23.8,8,1
2009,7,6,23.7,8,1
2009,7,7,26.9,8,1
2009,7,8,26.5,8,1
2009,7,9,27.9,8,1
2009,7,10,28.3,8,1
2009,7,11,25.3,8,1
2009,7,12,25.5,8,1
2009,7,13,28.9,8,1
2009,7,14,27.6,8,1
2009,7,15,29.1,8,1
2009,7,16,29.3,8,1
2009,7,17,25.9,8,1
2009,7,18,27.7,8,1
2009,7,19,29.4,8,1
2009,7,20,27.1,8,1
2009,7,21,22.8,8,1
2009,7,22,24.1,8,1
2009,7,23,25.6,8,1
2009,7,24,26.3,8,1
2009,7,25,28.1,8,1
2009,7,26,29.6,8,1
2009,7,27,27.2,8,1
2009,7,28,26.7,8,1
2009,7,29,28.2,8,1
2009,7,30,28.4,8,1
2009,7,31,23.3,8,1
2009,8,1,24.6,8,1
2009,8,2,24.3,8,1
2009,8,3,26.3,8,1
2009,8,4,26.0,8,1
2009,8,5,27.5,8,1
2009,8,6,27.5,8,1
2009,8,7,28.6,8,1
2009,8,8,27.6,8,1
2009,8,9,28.3,8,1
2009,8,10,27.1,8,1
2009,8,11,26.7,8,1
2009,8,12,26.6,8,1
2009,8,13,28.2,8,1
2009,8,14,28.6,8,1
2009,8,15,27.2,8,1
2009,8,16,27.8,8,1
2009,8,17,26.5,8,1
2009,8,18,26.6,8,1
2009,8,19,27.3,8,1
2009,8,20,27.6,8,1
2009,8,21,28.9,8,1
2009,8,22,28.9,8,1
2009,8,23,27.2,8,1
2009,8,24,26.0,8,1
2009,8,25,24.8,8,1
2009,8,26,24.4,8,1
2009,8,27,25.3,8,1
2009,8,28,27.4,8,1
2009,8,29,28.6,8,1
2009,8,30,23.3,8,1
2009,8,31,19.1,8,1
2009,9,1,25.7,8,1
2009,9,2,22.3,8,1
2009,9,3,22.2,8,1
2009,9,4,23.2,8,1
2009,9,5,24.4,8,1
2009,9,6,24.4,8,1
2009,9,7,24.9,8,1
2009,9,8,24.8,8,1
2009,9,9,22.6,8,1
2009,9,10,24.1,8,1
2009,9,11,23.9,8,1
2009,9,12,21.4,8,1
2009,9,13,23.7,8,1
2009,9,14,23.2,8,1
2009,9,15,21.9,8,1
2009,9,16,23.7,8,1
2009,9,17,22.5,8,1
2009,9,18,20.9,8,1
2009,9,19,21.7,8,1
2009,9,20,22.4,8,1
2009,9,21,21.3,8,1
2009,9,22,23.3,8,1
2009,9,23,23.9,8,1
2009,9,24,23.3,8,1
2009,9,25,23.3,8,1
2009,9,26,23.4,8,1
2009,9,27,21.9,8,1
2009,9,28,23.4,8,1
2009,9,29,23.1,8,1
2009,9,30,20.2,8,1
2009,10,1,20.8,8,1
2009,10,2,21.3,8,1
2009,10,3,22.8,8,1
2009,10,4,22.4,8,1
2009,10,5,19.6,8,1
2009,10,6,17.8,8,1
2009,10,7,17.6,8,1
2009,10,8,21.2,8,1
2009,10,9,20.4,8,1
2009,10,10,17.7,8,1
2009,10,11,18.9,8,1
2009,10,12,18.5,8,1
2009,10,13,19.8,8,1
2009,10,14,18.2,8,1
2009,10,15,18.1,8,1
2009,10,16,18.6,8,1
2009,10,17,18.4,8,1
2009,10,18,19.7,8,1
2009,10,19,19.7,8,1
2009,10,20,21.9,8,1
2009,10,21,19.3,8,1
2009,10,22,18.5,8,1
2009,10,23,17.7,8,1
2009,10,24,16.1,8,1
2009,10,25,14.8,8,1
2009,10,26,14.4,8,1
2009,10,27,19.1,8,1
2009,10,28,18.4,8,1
2009,10,29,17.8,8,1
2009,10,30,19.9,8,1
2009,10,31,18.2,8,1
2009,11,1,19.6,8,1
2009,11,2,12.9,8,1
2009,11,3,10.2,8,1
2009,11,4,11.9,8,1
2009,11,5,13.5,8,1
2009,11,6,15.4,8,1
2009,11,7,16.5,8,1
2009,11,8,16.9,8,1
2009,11,9,17.8,8,1
2009,11,10,18.7,8,1
2009,11,11,17.3,8,1
2009,11,12,13.2,8,1
2009,11,13,11.2,8,1
2009,11,14,16.9,8,1
2009,11,15,16.9,8,1
2009,11,16,14.4,8,1
2009,11,17,10.3,8,1
2009,11,18,11.5,8,1
2009,11,19,8.2,8,1
2009,11,20,10.5,8,1
2009,11,21,12.2,8,1
2009,11,22,8.4,8,1
2009,11,23,11.2,8,1
2009,11,24,11.8,8,1
2009,11,25,13.4,8,1
2009,11,26,14.6,8,1
2009,11,27,14.1,8,1
2009,11,28,13.8,8,1
2009,11,29,10.6,8,1
2009,11,30,9.6,8,1
2009,12,1,11.5,8,1
2009,12,2,12.0,8,1
2009,12,3,10.1,8,1
2009,12,4,11.7,8,1
2009,12,5,10.3,8,1
2009,12,6,11.2,8,1
2009,12,7,10.3,8,1
2009,12,8,10.1,8,1
2009,12,9,10.2,8,1
2009,12,10,11.0,8,1
2009,12,11,8.1,8,1
2009,12,12,13.0,8,1
2009,12,13,11.2,8,1
2009,12,14,8.9,8,1
2009,12,15,7.9,8,1
2009,12,16,6.9,8,1
2009,12,17,7.0,8,1
2009,12,18,6.2,8,1
2009,12,19,5.2,8,1
2009,12,20,6.3,8,1
2009,12,21,5.9,8,1
2009,12,22,6.4,8,1
2009,12,23,7.7,8,1
2009,12,24,9.9,8,1
2009,12,25,9.2,8,1
2009,12,26,9.4,8,1
2009,12,27,9.4,8,1
2009,12,28,9.4,8,1
2009,12,29,8.1,8,1
2009,12,30,9.2,8,1
2009,12,31,6.2,8,1
2010,1,1,4.8,8,1
2010,1,2,6.3,8,1
2010,1,3,5.7,8,1
2010,1,4,6.5,8,1
2010,1,5,7.3,8,1
2010,1,6,6.5,8,1
2010,1,7,7.3,8,1
2010,1,8,7.6,8,1
2010,1,9,7.2,8,1
2010,1,10,7.0,8,1
2010,1,11,5.3,8,1
2010,1,12,3.9,8,1
2010,1,13,5.3,8,1
2010,1,14,3.8,8,1
2010,1,15,4.6,8,1
2010,1,16,3.8,8,1
2010,1,17,4.9,8,1
2010,1,18,5.3,8,1
2010,1,19,8.4,8,1
2010,1,20,11.6,8,1
2010,1,21,13.0,8,1
2010,1,22,7.0,8,1
2010,1,23,6.3,8,1
2010,1,24,7.0,8,1
2010,1,25,8.2,8,1
2010,1,26,6.7,8,1
2010,1,27,7.2,8,1
2010,1,28,12.2,8,1
2010,1,29,8.9,8,1
2010,1,30,8.9,8,1
2010,1,31,9.2,8,1
2010,2,1,5.9,8,1
2010,2,2,4.2,8,1
2010,2,3,3.7,8,1
2010,2,4,2.9,8,1
2010,2,5,4.9,8,1
2010,2,6,3.2,8,1
2010,2,7,4.9,8,1
2010,2,8,6.3,8,1
2010,2,9,11.8,8,1
2010,2,10,8.5,8,1
2010,2,11,4.5,8,1
2010,2,12,3.5,8,1
2010,2,13,2.2,8,1
2010,2,14,4.6,8,1
2010,2,15,5.3,8,1
2010,2,16,3.9,8,1
2010,2,17,3.1,8,1
2010,2,18,3.5,8,1
2010,2,19,5.7,8,1
2010,2,20,7.0,8,1
2010,2,21,6.1,8,1
2010,2,22,6.5,8,1
2010,2,23,9.7,8,1
2010,2,24,12.0,8,1
2010,2,25,13.9,8,1
2010,2,26,16.9,8,1
2010,2,27,10.9,8,1
2010,2,28,6.4,8,1
2010,3,1,9.0,8,1
2010,3,2,5.3,8,1
2010,3,3,8.4,8,1
2010,3,4,7.6,8,1
2010,3,5,12.5,8,1
2010,3,6,11.4,8,1
2010,3,7,6.2,8,1
2010,3,8,5.5,8,1
2010,3,9,3.5,8,1
2010,3,10,5.3,8,1
2010,3,11,8.6,8,1
2010,3,12,10.3,8,1
2010,3,13,16.1,8,1
2010,3,14,10.7,8,1
2010,3,15,13.7,8,1
2010,3,16,15.5,8,1
2010,3,17,9.8,8,1
2010,3,18,9.6,8,1
2010,3,19,8.7,8,1
2010,3,20,15.2,8,1
2010,3,21,15.3,8,1
2010,3,22,9.8,8,1
2010,3,23,10.9,8,1
2010,3,24,6.9,8,1
2010,3,25,5.3,8,1
2010,3,26,7.9,8,1
2010,3,27,8.1,8,1
2010,3,28,5.5,8,1
2010,3,29,4.4,8,1
2010,3,30,5.9,8,1
2010,3,31,9.1,8,1
2010,4,1,14.7,8,1
2010,4,2,15.2,8,1
2010,4,3,11.1,8,1
2010,4,4,8.8,8,1
2010,4,5,9.4,8,1
2010,4,6,14.8,8,1
2010,4,7,11.6,8,1
2010,4,8,8.9,8,1
2010,4,9,11.1,8,1
2010,4,10,15.6,8,1
2010,4,11,17.2,8,1
2010,4,12,8.6,8,1
2010,4,13,15.1,8,1
2010,4,14,13.9,8,1
2010,4,15,6.9,8,1
2010,4,16,5.2,8,1
2010,4,17,6.3,8,1
2010,4,18,12.0,8,1
2010,4,19,15.2,8,1
2010,4,20,15.6,8,1
2010,4,21,18.8,8,1
2010,4,22,9.1,8,1
2010,4,23,8.2,8,1
2010,4,24,11.2,8,1
2010,4,25,12.7,8,1
2010,4,26,14.4,8,1
2010,4,27,12.7,8,1
2010,4,28,14.1,8,1
2010,4,29,18.2,8,1
2010,4,30,15.2,8,1
2010,5,1,16.4,8,1
2010,5,2,17.9,8,1
2010,5,3,19.0,8,1
2010,5,4,20.6,8,1
2010,5,5,21.9,8,1
2010,5,6,22.4,8,1
2010,5,7,20.4,8,1
2010,5,8,19.7,8,1
2010,5,9,20.7,8,1
2010,5,10,19.1,8,1
2010,5,11,17.1,8,1
2010,5,12,16.4,8,1
2010,5,13,16.5,8,1
2010,5,14,15.4,8,1
2010,5,15,15.1,8,1
2010,5,16,17.3,8,1
2010,5,17,20.7,8,1
2010,5,18,21.6,8,1
2010,5,19,20.3,8,1
2010,5,20,20.2,8,1
2010,5,21,24.3,8,1
2010,5,22,23.4,8,1
2010,5,23,18.3,8,1
2010,5,24,18.1,8,1
2010,5,25,23.5,8,1
2010,5,26,17.6,8,1
2010,5,27,17.6,8,1
2010,5,28,18.5,8,1
